Building 1:,Building 2:,Distance (Miles):
Phillips,Observatory Dr/Willow Dr,0.16
Dejope,Observatory Dr/Willow Dr,0.09
Phillips,Elm Dr,0.15
Dejope,Elm Dr,0.05
Bradley,Elm Dr,0.06
Sullivan,Elm Dr,0.02
Cole,Elm Dr,0.04
Leopold,Elm Dr,0.09
Kronshage,Elm Dr,0.09
Four Lakes,Observatory Dr/Willow Dr,0.09
Four Lakes,Elm Dr,0.05
Observatory Dr/Willow Dr,Elm Dr/Observatory Dr,0.13
Kronshage,Babcock Dr/Tripp Cr,0.1
Leopold,Babcock Dr/Tripp Cr,0.06
Humphrey,Babcock Dr/Tripp Cr,0.05
Adams,Babcock Dr/Tripp Cr,0.04
Carson,Babcock Dr/Tripp Cr,0.07
Slichter,Babcock Dr/Tripp Cr,0.03
Slichter,Babcock Dr/Observatory Dr,0.05
Babcock Dr/Tripp Cr,Babcock Dr/Observatory Dr,0.07
Tripp,Babcock Dr/Tripp Cr,0.08
Elm Dr/Observatory Dr,Babcock Dr/Observatory Dr,0.16
Babcock Dr/Observatory Dr,Charter St/Observatory Dr,0.36
Liz Waters,Charter St/Observatory Dr,0.07
Liz's Market,Charter St/Observatory Dr,0.07
Charter St/Linden Dr,Charter St/Observatory Dr,0.07
Charter St/Linden Dr,Van Hise,0.03
Charter St/Linden Dr,Ingraham,0.04
Ingraham,Charter St/Observatory Dr,0.06
Charter St/Linden Dr,Sterling,0.05
Charter St/Linden Dr,Chamberlin,0.09
Charter St/Linden Dr,Charter St/University Ave,0.12
Chamberlin,Charter St/University Ave,0.05
Ingraham,Charter St/University Ave,0.1
Babcock Dr/Observatory Dr,Babcock Dr/Linden Dr,0.09
Charter St/Linden Dr,Babcock Dr/Linden Dr,0.33
University Ave/Randall Ave,Babcock Dr/Linden Dr,0.27
University Ave/Randall Ave,Charter St/University Ave,0.15
University Ave/Randall Ave,Engineering Dr/Randall Ave,0.08
Union South,Engineering Dr/Randall Ave,0.02
Engineering Hall,Engineering Dr/Randall Ave,0.07
University Ave/Randall Ave,University Ave/Johnson St,0.04
Johnson St/Orchard St,University Ave/Johnson St,0.09
Johnson St/Orchard St,Computer Sciences,0.06
Johnson St/Orchard St,Charter St/Johnson St,0.08
Charter St/University Ave,Charter St/Johnson St,0.09
Charter St/Dayton St,Charter St/Johnson St,0.08
Dayton St/Orchard St,Charter St/Dayton St,0.08
Dayton St/Randall Ave,Dayton St/Orchard St,0.08
Dayton St/Randall Ave,Engineering Dr/Randall Ave,0.08
Dayton St/Orchard St,Union South,0.03
Dayton St/Orchard St,Computer Sciences,0.04
Charter St/Johnson St,Chemistry Building,0.03
Charter St/University Ave,Chemistry Building,0.07
Bascom Hall,Charter St/Observatory Dr,0.14
Observatory Dr/Park St,Charter St/Observatory Dr,0.29
Observatory Dr/Park St,Langdon St/Park St,0.02
Observatory Dr/Park St,College Library,0.05
Science Hall,Langdon St/Park St,0.03
Memorial Union,Langdon St/Park St,0.05
Wisconsin Historical Society,Langdon St/Park St,0.08
Memorial Library,Langdon St/Park St,0.14
Langdon St/Lake St,Langdon St/Park St,0.16
Langdon St/Lake St,Memorial Library,0.09
Langdon St/Lake St,Wisconsin Historical Society,0.15
Langdon St/Lake St,Memorial Union,0.14
Langdon St/Lake St,State Street,0.06
